id,subject,fold,model,th,f1
SR007-CL1-4300-4364,SR007,1,3D,0.5,0.8176098723094816
SR007-CL1-4300-4364,SR007,1,3D,0.55,0.7758985865202472
SR007-CL1-4300-4364,SR007,1,3D,0.6,0.7408634938486768
SR007-CL1-4300-4364,SR007,1,3D,0.65,0.6667573114491419
SR007-CL1-4300-4364,SR007,1,3D,0.7,0.5983931336759176
SR007-CL1-4300-4364,SR007,1,3D,0.75,0.5321784749571433
SR007-CL1-4300-4364,SR007,1,3D,0.8,0.44050923966887945
SR007-CL1-4300-4364,SR007,1,3D,0.85,0.29916084423358885
SR007-CL1-4300-4364,SR007,1,3D,0.9,0.16995734686967245
SR007-CL1-4300-4364,SR007,1,3D,0.95,0.03528212824468199
SR007-CL1-4300-4364,SR007,1,2D,0.5,0.6435612866664636
SR007-CL1-4300-4364,SR007,1,2D,0.55,0.6286267531152069
SR007-CL1-4300-4364,SR007,1,2D,0.6,0.6090073668995671
SR007-CL1-4300-4364,SR007,1,2D,0.65,0.5644110522484981
SR007-CL1-4300-4364,SR007,1,2D,0.7,0.5491821701886188
SR007-CL1-4300-4364,SR007,1,2D,0.75,0.5140954285973625
SR007-CL1-4300-4364,SR007,1,2D,0.8,0.43960274281749384
SR007-CL1-4300-4364,SR007,1,2D,0.85,0.30080168941660923
SR007-CL1-4300-4364,SR007,1,2D,0.9,0.20045496850582706
SR007-CL1-4300-4364,SR007,1,2D,0.95,0
SR007-CL1-5700-5764,SR007,1,3D,0.5,0.7105012513672002
SR007-CL1-5700-5764,SR007,1,3D,0.55,0.6943554180343887
SR007-CL1-5700-5764,SR007,1,3D,0.6,0.6779222283797578
SR007-CL1-5700-5764,SR007,1,3D,0.65,0.6536765387253709
SR007-CL1-5700-5764,SR007,1,3D,0.7,0.6453432053923154
SR007-CL1-5700-5764,SR007,1,3D,0.75,0.6214016731350153
SR007-CL1-5700-5764,SR007,1,3D,0.8,0.4745417361728117
SR007-CL1-5700-5764,SR007,1,3D,0.85,0.33517160269574103
SR007-CL1-5700-5764,SR007,1,3D,0.9,0.22866784852793237
SR007-CL1-5700-5764,SR007,1,3D,0.95,0.07291840470657017
SR007-CL1-5700-5764,SR007,1,2D,0.5,0.6341068723070259
SR007-CL1-5700-5764,SR007,1,2D,0.55,0.6217593113317211
SR007-CL1-5700-5764,SR007,1,2D,0.6,0.6092593113320336
SR007-CL1-5700-5764,SR007,1,2D,0.65,0.5754125387846062
SR007-CL1-5700-5764,SR007,1,2D,0.7,0.5547947757893655
SR007-CL1-5700-5764,SR007,1,2D,0.75,0.499725661898246
SR007-CL1-5700-5764,SR007,1,2D,0.8,0.4602602024822513
SR007-CL1-5700-5764,SR007,1,2D,0.85,0.40729927452273
SR007-CL1-5700-5764,SR007,1,2D,0.9,0.2775534434802448
SR007-CL1-5700-5764,SR007,1,2D,0.95,0.05285964035823675
SR007-CL2-2610-2674,SR007,1,3D,0.5,0.8736869747287086
SR007-CL2-2610-2674,SR007,1,3D,0.55,0.8736869747287086
SR007-CL2-2610-2674,SR007,1,3D,0.6,0.8736869747287086
SR007-CL2-2610-2674,SR007,1,3D,0.65,0.8736869747287086
SR007-CL2-2610-2674,SR007,1,3D,0.7,0.8528536413971113
SR007-CL2-2610-2674,SR007,1,3D,0.75,0.8111869747339169
SR007-CL2-2610-2674,SR007,1,3D,0.8,0.7724964985464523
SR007-CL2-2610-2674,SR007,1,3D,0.85,0.6305584733466468
SR007-CL2-2610-2674,SR007,1,3D,0.9,0.31258753499300584
SR007-CL2-2610-2674,SR007,1,3D,0.95,0
SR007-CL2-2610-2674,SR007,1,2D,0.5,0.8719551281422675
SR007-CL2-2610-2674,SR007,1,2D,0.55,0.8719551281422675
SR007-CL2-2610-2674,SR007,1,2D,0.6,0.8719551281422675
SR007-CL2-2610-2674,SR007,1,2D,0.65,0.8719551281422675
SR007-CL2-2610-2674,SR007,1,2D,0.7,0.8152243589158248
SR007-CL2-2610-2674,SR007,1,2D,0.75,0.6986378204634298
SR007-CL2-2610-2674,SR007,1,2D,0.8,0.5773237179078291
SR007-CL2-2610-2674,SR007,1,2D,0.85,0.21866987177870573
SR007-CL2-2610-2674,SR007,1,2D,0.9,0.08485576922498005
SR007-CL2-2610-2674,SR007,1,2D,0.95,0
SR007-CL2-3900-3964,SR007,1,3D,0.5,0.7105654761422854
SR007-CL2-3900-3964,SR007,1,3D,0.55,0.6427083332897514
SR007-CL2-3900-3964,SR007,1,3D,0.6,0.6427083332897514
SR007-CL2-3900-3964,SR007,1,3D,0.65,0.6092261904348606
SR007-CL2-3900-3964,SR007,1,3D,0.7,0.592559523769305
SR007-CL2-3900-3964,SR007,1,3D,0.75,0.592559523769305
SR007-CL2-3900-3964,SR007,1,3D,0.8,0.5424107142488587
SR007-CL2-3900-3964,SR007,1,3D,0.85,0.442113095207966
SR007-CL2-3900-3964,SR007,1,3D,0.9,0.20044642855800568
SR007-CL2-3900-3964,SR007,1,3D,0.95,0
SR007-CL2-3900-3964,SR007,1,2D,0.5,0.658527930355851
SR007-CL2-3900-3964,SR007,1,2D,0.55,0.5915636446460695
SR007-CL2-3900-3964,SR007,1,2D,0.6,0.575938644647046
SR007-CL2-3900-3964,SR007,1,2D,0.65,0.5057005494138884
SR007-CL2-3900-3964,SR007,1,2D,0.7,0.47117673989246556
SR007-CL2-3900-3964,SR007,1,2D,0.75,0.4519459706631756
SR007-CL2-3900-3964,SR007,1,2D,0.8,0.39700091572215096
SR007-CL2-3900-3964,SR007,1,2D,0.85,0.3240155677421482
SR007-CL2-3900-3964,SR007,1,2D,0.9,0.17926968863178555
SR007-CL2-3900-3964,SR007,1,2D,0.95,0
SR007-CL2-440-504,SR007,1,3D,0.5,0.7608552631130211
SR007-CL2-440-504,SR007,1,3D,0.55,0.7608552631130211
SR007-CL2-440-504,SR007,1,3D,0.6,0.7608552631130211
SR007-CL2-440-504,SR007,1,3D,0.65,0.7469663742249038
SR007-CL2-440-504,SR007,1,3D,0.7,0.7191885964486692
SR007-CL2-440-504,SR007,1,3D,0.75,0.6765168128253789
SR007-CL2-440-504,SR007,1,3D,0.8,0.6022478069818836
SR007-CL2-440-504,SR007,1,3D,0.85,0.4991959064032153
SR007-CL2-440-504,SR007,1,3D,0.9,0.4103070175196351
SR007-CL2-440-504,SR007,1,3D,0.95,0
SR007-CL2-440-504,SR007,1,2D,0.5,0.7188545102540803
