id,subject,fold,model,fp_rate
SR007-CL1-4300-4364,SR007,1,3D,23.809523809523807
SR007-CL1-4300-4364,SR007,1,2D,52.17391304347826
SR007-CL1-5700-5764,SR007,1,3D,11.76470588235294
SR007-CL1-5700-5764,SR007,1,2D,43.75
SR007-CL2-2610-2674,SR007,1,3D,12.5
SR007-CL2-2610-2674,SR007,1,2D,0
SR007-CL2-3900-3964,SR007,1,3D,11.11111111111111
SR007-CL2-3900-3964,SR007,1,2D,14.285714285714285
SR007-CL2-440-504,SR007,1,3D,0
SR007-CL2-440-504,SR007,1,2D,9.090909090909092
SR007-CL2-7230-7294,SR007,1,3D,12.5
SR007-CL2-7230-7294,SR007,1,2D,12.5
SR007-CL3-1040-1104,SR007,1,3D,0
SR007-CL3-1040-1104,SR007,1,2D,0
SR007-CR1-2630-2694,SR007,1,3D,6.666666666666667
SR007-CR1-2630-2694,SR007,1,2D,214.28571428571428
SR007-CR1-3600-3664,SR007,1,3D,5.88235294117647
SR007-CR1-3600-3664,SR007,1,2D,35.294117647058826
SR007-CR1-4670-4734,SR007,1,3D,30.76923076923077
SR007-CR1-4670-4734,SR007,1,2D,22.22222222222222
SR007-CR1-5470-5534,SR007,1,3D,5.555555555555555
SR007-CR1-5470-5534,SR007,1,2D,22.22222222222222
SR007-CR2-3970-4034,SR007,1,3D,0
SR007-CR2-3970-4034,SR007,1,2D,16.666666666666664
SR007-CR2-520-584,SR007,1,3D,0
SR007-CR2-520-584,SR007,1,2D,0
SR007-CR2-7675-7739,SR007,1,3D,0
SR007-CR2-7675-7739,SR007,1,2D,0
SR007-TL1-3150-3214,SR007,1,3D,0
SR007-TL1-3150-3214,SR007,1,2D,0
SR007-TL1-370-434,SR007,1,3D,0
SR007-TL1-370-434,SR007,1,2D,0
SR007-TL1-4680-4744,SR007,1,3D,0
SR007-TL1-4680-4744,SR007,1,2D,0
SR007-TL2-2216-2280,SR007,1,3D,20
SR007-TL2-2216-2280,SR007,1,2D,46.666666666666664
SR007-TR1-2760-2824,SR007,1,3D,8.333333333333332
