id,subject,fold,model,area_category,missed_rate
SR007-CL1-4300-4364,SR007,1,3D,Tiny,13.609467455621301
SR007-CL1-4300-4364,SR007,1,3D,Small,27.810650887573964
SR007-CL1-4300-4364,SR007,1,3D,Medium,4.545454545454546
SR007-CL1-4300-4364,SR007,1,2D,Tiny,14.792899408284024
SR007-CL1-4300-4364,SR007,1,2D,Small,15.976331360946746
SR007-CL1-4300-4364,SR007,1,2D,Medium,4.666666666666667
SR007-CL1-5700-5764,SR007,1,3D,Tiny,26.31578947368421
SR007-CL1-5700-5764,SR007,1,3D,Small,12.030075187969924
SR007-CL1-5700-5764,SR007,1,3D,Medium,6.122448979591836
SR007-CL1-5700-5764,SR007,1,2D,Tiny,26.31578947368421
SR007-CL1-5700-5764,SR007,1,2D,Small,12.871287128712872
SR007-CL1-5700-5764,SR007,1,2D,Medium,6.122448979591836
SR007-CL2-2610-2674,SR007,1,3D,Small,16.666666666666664
SR007-CL2-2610-2674,SR007,1,3D,Medium,13.793103448275861
SR007-CL2-2610-2674,SR007,1,3D,Large,16.666666666666664
SR007-CL2-2610-2674,SR007,1,2D,Tiny,15
SR007-CL2-2610-2674,SR007,1,2D,Small,16.666666666666664
SR007-CL2-2610-2674,SR007,1,2D,Medium,13.333333333333334
SR007-CL2-3900-3964,SR007,1,3D,Tiny,31.147540983606557
SR007-CL2-3900-3964,SR007,1,3D,Medium,13.461538461538462
SR007-CL2-3900-3964,SR007,1,2D,Tiny,32.78688524590164
SR007-CL2-3900-3964,SR007,1,2D,Small,18.181818181818183
SR007-CL2-3900-3964,SR007,1,2D,Medium,19.148936170212767
SR007-CL2-440-504,SR007,1,3D,Tiny,17.073170731707318
SR007-CL2-440-504,SR007,1,3D,Small,9.30232558139535
SR007-CL2-440-504,SR007,1,3D,Medium,14.0625
SR007-CL2-440-504,SR007,1,3D,Large,9.836065573770492
SR007-CL2-440-504,SR007,1,2D,Tiny,17.073170731707318
SR007-CL2-440-504,SR007,1,2D,Small,9.30232558139535
SR007-CL2-440-504,SR007,1,2D,Medium,12.5
SR007-CL2-440-504,SR007,1,2D,Large,22.22222222222222
SR007-CL2-7230-7294,SR007,1,3D,Small,16.9811320754717
SR007-CL2-7230-7294,SR007,1,3D,Medium,16.94915254237288
SR007-CL2-7230-7294,SR007,1,2D,Small,30.18867924528302
SR007-CL2-7230-7294,SR007,1,2D,Medium,16.94915254237288
SR007-CL2-7230-7294,SR007,1,2D,Large,12.5
SR007-CL3-1040-1104,SR007,1,3D,Tiny,33.33333333333333
SR007-CL3-1040-1104,SR007,1,3D,Medium,33.33333333333333
SR007-CL3-1040-1104,SR007,1,3D,Large,33.33333333333333
SR007-CL3-1040-1104,SR007,1,2D,Tiny,33.33333333333333
SR007-CL3-1040-1104,SR007,1,2D,Medium,33.33333333333333
SR007-CL3-1040-1104,SR007,1,2D,Large,33.33333333333333
SR007-CR1-2630-2694,SR007,1,3D,Tiny,11.904761904761903
SR007-CR1-2630-2694,SR007,1,3D,Small,12.5
SR007-CR1-2630-2694,SR007,1,3D,Medium,7.042253521126761
SR007-CR1-2630-2694,SR007,1,3D,Large,6.896551724137931
SR007-CR1-2630-2694,SR007,1,2D,Tiny,9.523809523809524
SR007-CR1-2630-2694,SR007,1,2D,Small,10.309278350515463
SR007-CR1-2630-2694,SR007,1,2D,Medium,8.235294117647058
SR007-CR1-2630-2694,SR007,1,2D,Large,6.666666666666667
SR007-CR1-3600-3664,SR007,1,3D,Tiny,7.142857142857142
SR007-CR1-3600-3664,SR007,1,3D,Small,12.068965517241379
