id,subject,fold,model,cls,metric,value
SR007-CL1-4300-4364,SR007,1,3D,fas,cl_dice,0.7995198318240242
SR007-CL1-4300-4364,SR007,1,2D,fas,cl_dice,0.8867866711331501
SR007-CL1-5700-5764,SR007,1,3D,fas,cl_dice,0.8864590056248549
SR007-CL1-5700-5764,SR007,1,2D,fas,cl_dice,0.8889204914105077
SR007-CL2-2610-2674,SR007,1,3D,fas,cl_dice,0.950608569167255
SR007-CL2-2610-2674,SR007,1,2D,fas,cl_dice,0.9149046623546082
SR007-CL2-3900-3964,SR007,1,3D,fas,cl_dice,0.8857682110983469
SR007-CL2-3900-3964,SR007,1,2D,fas,cl_dice,0.9009964447342148
SR007-CL2-440-504,SR007,1,3D,fas,cl_dice,0.43537712463073097
SR007-CL2-440-504,SR007,1,2D,fas,cl_dice,0.971310756374398
SR007-CL2-7230-7294,SR007,1,3D,fas,cl_dice,0.9942423829789188
SR007-CL2-7230-7294,SR007,1,2D,fas,cl_dice,0.9663265752273008
SR007-CL3-1040-1104,SR007,1,3D,fas,cl_dice,0.9589785504673564
SR007-CL3-1040-1104,SR007,1,2D,fas,cl_dice,0.9376269907727806
SR007-CR1-2630-2694,SR007,1,3D,fas,cl_dice,0.876504857350446
SR007-CR1-2630-2694,SR007,1,2D,fas,cl_dice,0.36522506715785985
SR007-CR1-3600-3664,SR007,1,3D,fas,cl_dice,0.9513885217982868
SR007-CR1-3600-3664,SR007,1,2D,fas,cl_dice,0.94010169827293
SR007-CR1-4670-4734,SR007,1,3D,fas,cl_dice,0.7775669759199416
SR007-CR1-4670-4734,SR007,1,2D,fas,cl_dice,0.733677710901164
SR007-CR1-5470-5534,SR007,1,3D,fas,cl_dice,0.9123117075988963
SR007-CR1-5470-5534,SR007,1,2D,fas,cl_dice,0.7858730781445571
SR007-CR2-3970-4034,SR007,1,3D,fas,cl_dice,0.9298626174981924
SR007-CR2-3970-4034,SR007,1,2D,fas,cl_dice,0.5600608043356136
SR007-CR2-520-584,SR007,1,3D,fas,cl_dice,0.9840954274353876
SR007-CR2-520-584,SR007,1,2D,fas,cl_dice,0.9911154985192496
SR007-CR2-7675-7739,SR007,1,3D,fas,cl_dice,0.9671309192200556
SR007-CR2-7675-7739,SR007,1,2D,fas,cl_dice,0.9424495244708192
SR007-TL1-3150-3214,SR007,1,3D,fas,cl_dice,0.9952786671731698
SR007-TL1-3150-3214,SR007,1,2D,fas,cl_dice,0.8762580342071439
SR007-TL1-370-434,SR007,1,3D,fas,cl_dice,0.9705172875904584
SR007-TL1-370-434,SR007,1,2D,fas,cl_dice,0.960319676994088
SR007-TL1-4680-4744,SR007,1,3D,fas,cl_dice,0.9336958266419274
SR007-TL1-4680-4744,SR007,1,2D,fas,cl_dice,0.8426638486858545
SR007-TL2-2216-2280,SR007,1,3D,fas,cl_dice,0.8907050376097332
SR007-TL2-2216-2280,SR007,1,2D,fas,cl_dice,0.7669785658362908
SR007-TR1-2760-2824,SR007,1,3D,fas,cl_dice,0.9290403292699893
SR007-TR1-2760-2824,SR007,1,2D,fas,cl_dice,0.7927341430942453
SR007-TR1-5340-5404,SR007,1,3D,fas,cl_dice,0.821823064459821
