id,subject,fold,model,cls,bfscore
SR007-CL1-4300-4364,SR007,1,3D,fas,0.8247948571428572
SR007-CL1-4300-4364,SR007,1,3D,epi,0.8026226093650793
SR007-CL1-4300-4364,SR007,1,2D,fas,0.537863993968254
SR007-CL1-4300-4364,SR007,1,2D,epi,0.5912979592063492
SR007-CL1-4300-4364,SR007,1,GT,fas,0.677705623015873
SR007-CL1-4300-4364,SR007,1,GT,epi,0.6910268519047619
SR007-CL1-5700-5764,SR007,1,3D,fas,0.8565922352380952
SR007-CL1-5700-5764,SR007,1,3D,epi,0.8282148722222222
SR007-CL1-5700-5764,SR007,1,2D,fas,0.5690060071428571
SR007-CL1-5700-5764,SR007,1,2D,epi,0.6607124201587301
SR007-CL1-5700-5764,SR007,1,GT,fas,0.7082327471428571
SR007-CL1-5700-5764,SR007,1,GT,epi,0.7185507577777778
SR007-CL2-2610-2674,SR007,1,3D,fas,0.8764171577777777
SR007-CL2-2610-2674,SR007,1,3D,epi,0.8668294285714285
SR007-CL2-2610-2674,SR007,1,2D,fas,0.7248241960317461
SR007-CL2-2610-2674,SR007,1,2D,epi,0.7723114557142857
SR007-CL2-2610-2674,SR007,1,GT,fas,0.8076980988888889
SR007-CL2-2610-2674,SR007,1,GT,epi,0.7840727261904762
SR007-CL2-3900-3964,SR007,1,3D,fas,0.928837132063492
SR007-CL2-3900-3964,SR007,1,3D,epi,0.8757107117460318
SR007-CL2-3900-3964,SR007,1,2D,fas,0.7418201404761905
SR007-CL2-3900-3964,SR007,1,2D,epi,0.7699134404761905
SR007-CL2-3900-3964,SR007,1,GT,fas,0.8676558368253968
SR007-CL2-3900-3964,SR007,1,GT,epi,0.8137456588888888
SR007-CL2-440-504,SR007,1,3D,fas,0.8261839452380952
SR007-CL2-440-504,SR007,1,3D,epi,0.7942518922222223
SR007-CL2-440-504,SR007,1,2D,fas,0.6640373023809524
SR007-CL2-440-504,SR007,1,2D,epi,0.654242919047619
SR007-CL2-440-504,SR007,1,GT,fas,0.7506779398412698
SR007-CL2-440-504,SR007,1,GT,epi,0.7244389484126984
SR007-CL2-7230-7294,SR007,1,3D,fas,0.9106908396825397
SR007-CL2-7230-7294,SR007,1,3D,epi,0.9107890071428572
