id,subject,fold,model,class,DSC,IoU,Sensitivity,Specificity,tp,fp,fn,tn
SR007-CL1-4300-4364,SR007,1,3D,epi,0.9680667857073855,0.9381099205833691,0.9918339948311383,0.9982322551606355,8968768,517856,73842,292429400
SR007-CL1-4300-4364,SR007,1,3D,fas,0.9270281838733987,0.863981858554258,0.8854680120658425,0.9998199447804422,1922135,53984,248621,299765150
SR007-CL1-4300-4364,SR007,1,2D,epi,0.9585358681804179,0.9203733848286478,0.9605389373200879,0.9986529179531781,8685779,394624,356831,292552640
SR007-CL1-4300-4364,SR007,1,2D,fas,0.9045513739069928,0.8257360065648512,0.9437850223608734,0.9989649226392274,2048727,310336,122029,299508800
SR007-CL1-5700-5764,SR007,1,3D,epi,0.9454237325569776,0.8964963101713815,0.9787326670464991,0.99833629531152,5265156,493472,114409,296116860
SR007-CL1-5700-5764,SR007,1,3D,fas,0.951308749637698,0.9071390166639034,0.9347302821031256,0.9996861077878905,2883384,93824,201339,298811330
SR007-CL1-5700-5764,SR007,1,2D,epi,0.9349042360384835,0.877765425111824,0.9476738360815419,0.9985555190407585,5098073,428448,281492,296181900
SR007-CL1-5700-5764,SR007,1,2D,fas,0.9404940423597556,0.8876722547690484,0.9651521384578129,0.9990992192613558,2977227,269248,107496,298635900
SR007-CL2-2610-2674,SR007,1,3D,epi,0.9583208448239764,0.9199769814555219,0.9602730564152389,0.999699988854938,1972760,89984,81614,299845540
SR007-CL2-2610-2674,SR007,1,3D,fas,0.9482520650875638,0.9015963175306932,0.9666107952850089,0.9998154698591408,745081,55584,25737,301163500
SR007-CL2-2610-2674,SR007,1,2D,epi,0.947260739299801,0.8998056543172506,0.9433949222488213,0.9996681953507874,1938086,99520,116288,299836000
SR007-CL2-2610-2674,SR007,1,2D,fas,0.9249827304854485,0.8604352290109215,0.9589163719581016,0.9997071101812098,739150,88224,31668,301130850
SR007-CL2-3900-3964,SR007,1,3D,epi,0.9532735147081227,0.9107188249299955,0.9841619005719313,0.9996298727943211,1357859,111264,21852,300498900
SR007-CL2-3900-3964,SR007,1,3D,fas,0.9419244385451402,0.8902241700488657,0.9032823020857493,0.9999733547682369,494613,8032,52960,301434270
SR007-CL2-3900-3964,SR007,1,2D,epi,0.9430332376848969,0.8922070885363941,0.9703032011776379,0.9995982571022015,1338738,120768,40973,300489400
SR007-CL2-3900-3964,SR007,1,2D,fas,0.930211405800973,0.8695282515116377,0.9189203996544753,0.9998968160752911,503176,31104,44397,301411200
SR007-CL2-440-504,SR007,1,3D,epi,0.8228564393614141,0.6990281108236489,0.9827616046145269,0.9952464326753856,3435482,1418912,60261,297075230
SR007-CL2-440-504,SR007,1,3D,fas,0.8942776341516215,0.8087723119044232,0.8257668305185658,0.9998455432952877,1819673,46304,383943,299739970
SR007-CL2-440-504,SR007,1,2D,epi,0.8071127432964282,0.6766043804733115,0.9655558203220317,0.994998575281942,3375335,1492896,120408,297001250
SR007-CL2-440-504,SR007,1,2D,fas,0.9322010341956863,0.8730117410195384,0.916178680859097,0.9996365410476117,2018906,108960,184710,299677300
SR007-CL2-7230-7294,SR007,1,3D,epi,0.9543394210634281,0.912666538537757,0.9729381128654369,0.9997933617927682,916497,62208,25492,300985700
SR007-CL2-7230-7294,SR007,1,3D,fas,0.9478843002237308,0.900931618476273,0.9351231116191417,0.9999266374603779,544842,22112,37800,301385120
SR007-CL2-7230-7294,SR007,1,2D,epi,0.9421451943851262,0.8906186268516388,0.9573307119297572,0.9997656186939022,901795,70560,40194,300977340
SR007-CL2-7230-7294,SR007,1,2D,fas,0.9458424183282254,0.8972495524134317,0.958207612908098,0.999868669376396,558292,39584,24350,301367650
SR007-CL3-1040-1104,SR007,1,3D,epi,0.9297039631443561,0.8686418814328002,0.981475450889406,0.9995639837847898,991566,131232,18715,300848400
SR007-CL3-1040-1104,SR007,1,3D,fas,0.9612515018797722,0.9253938789026427,0.950746406928343,0.9999430854027026,595230,17152,30836,301346660
SR007-CL3-1040-1104,SR007,1,2D,epi,0.9202918351600742,0.8523523903299497,0.9450895344958482,0.9996347925484124,954806,109920,55475,300869700
SR007-CL3-1040-1104,SR007,1,2D,fas,0.9457186579831374,0.8970268374226916,0.9762548996431686,0.9998165141243442,611200,55296,14866,301308500
SR007-CR1-2630-2694,SR007,1,3D,epi,0.9725819139020899,0.9466272076209155,0.9906861339490781,0.9976844068089947,14179120,666144,133304,287011330
SR007-CR1-2630-2694,SR007,1,3D,fas,0.9369941866190805,0.8814572552890791,0.9159136465468266,0.9996834870011687,2221609,94816,203957,299469500
SR007-CR1-2630-2694,SR007,1,2D,epi,0.9266557392609651,0.8633350670016443,0.9194805855388297,0.996764487831797,13159996,930784,1152428,286746700
SR007-CR1-2630-2694,SR007,1,2D,fas,0.7854433758277974,0.6466914429478551,0.9526968138570544,0.9961686225359733,2310829,1147744,114737,298416580
SR007-CR1-3600-3664,SR007,1,3D,epi,0.9657173895475358,0.9337074604058815,0.9833784743078687,0.9983365830426145,9004305,487104,152195,292346270
SR007-CR1-3600-3664,SR007,1,3D,fas,0.9499976193288586,0.904757586093889,0.9349983093859628,0.9995948157028461,3381916,120896,235113,298251970
SR007-CR1-3600-3664,SR007,1,2D,epi,0.9414015801507225,0.8892905586282273,0.9643271992573582,0.9973616122408013,8829862,772608,326638,292060770
SR007-CR1-3600-3664,SR007,1,2D,fas,0.935920272012878,0.879558408450579,0.9567352100301103,0.9989363108193521,3460539,317376,156490,298055500
SR007-CR1-4670-4734,SR007,1,3D,epi,0.9478822509195192,0.9009279158610713,0.9684194740433433,0.9982929312753515,6515717,504032,212480,294757660
SR007-CR1-4670-4734,SR007,1,3D,fas,0.9328713592402988,0.8741882877177555,0.9017023750938374,0.9996890266718084,2664150,92992,290428,298942300
SR007-CR1-4670-4734,SR007,1,2D,epi,0.9423777283593203,0.8910343074540389,0.9596747836010152,0.9982445945648272,6456881,518304,271316,294743400
SR007-CR1-4670-4734,SR007,1,2D,fas,0.9278565430125927,0.865422007629237,0.9240412674838844,0.9993307545920549,2730152,200128,224426,298835170
SR007-CR1-5470-5534,SR007,1,3D,epi,0.9423195408626156,0.8909302736207738,0.9640240112464072,0.9986764803837302,4621936,393344,172484,296802100
