id,subject,fold,model,area_category,metric,value
SR007-CL1-4300-4364,SR007,1,3D,Tiny,area_diff_percent,8.965517241379308
SR007-CL1-4300-4364,SR007,1,3D,Tiny,area_diff_percent,7.189542483660137
SR007-CL1-4300-4364,SR007,1,3D,Tiny,hd_um,2.563639773157695
SR007-CL1-4300-4364,SR007,1,3D,Tiny,hd_um,1.4774122171379513
SR007-CL1-4300-4364,SR007,1,3D,Tiny,pair_iou,0.7531645569620253
SR007-CL1-4300-4364,SR007,1,3D,Tiny,pair_iou,0.8553459119496856
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,21.821036106750395
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,25.3822629969419
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,19.071310116086238
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,24.009324009324015
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,26.85459940652819
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,13.85964912280703
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,18.22742474916388
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,10.691823899371084
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,28.321167883211686
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,14.084507042253517
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,6.172839506172832
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,15.275310834813505
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,27.931769722814497
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,21.73913043478261
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,18.082788671023962
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,27.76119402985075
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,20.634920634920643
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,7.750759878419459
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,22.538293216630194
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,18.595825426944966
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,11.111111111111112
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,18.721461187214615
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,25.21246458923513
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,28.106508875739642
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,22.201138519924086
SR007-CL1-4300-4364,SR007,1,3D,Small,area_diff_percent,11.797752808988763
