id,subject,fold,model,cls,metric,value
SR007-CL1-4300-4364,SR007,1,3D,fas,cl_dice,0.7995198318240242
SR007-CL1-4300-4364,SR007,1,3D Base,fas,cl_dice,0.8031292761180537
SR007-CL1-5700-5764,SR007,1,3D,fas,cl_dice,0.8864590056248549
SR007-CL1-5700-5764,SR007,1,3D Base,fas,cl_dice,0.8900189722084583
SR007-CL2-2610-2674,SR007,1,3D,fas,cl_dice,0.950608569167255
SR007-CL2-2610-2674,SR007,1,3D Base,fas,cl_dice,0.9388647233222964
SR007-CL2-3900-3964,SR007,1,3D,fas,cl_dice,0.8857682110983469
SR007-CL2-3900-3964,SR007,1,3D Base,fas,cl_dice,0.8878107944208612
SR007-CL2-440-504,SR007,1,3D,fas,cl_dice,0.43537712463073097
SR007-CL2-440-504,SR007,1,3D Base,fas,cl_dice,0.44849065644465747
SR007-CL2-7230-7294,SR007,1,3D,fas,cl_dice,0.9942423829789188
SR007-CL2-7230-7294,SR007,1,3D Base,fas,cl_dice,0.996652719665272
SR007-CL3-1040-1104,SR007,1,3D,fas,cl_dice,0.9589785504673564
SR007-CL3-1040-1104,SR007,1,3D Base,fas,cl_dice,0.9447745223797096
SR007-CR1-2630-2694,SR007,1,3D,fas,cl_dice,0.876504857350446
SR007-CR1-2630-2694,SR007,1,3D Base,fas,cl_dice,0.8329994360380479
SR007-CR1-3600-3664,SR007,1,3D,fas,cl_dice,0.9513885217982868
SR007-CR1-3600-3664,SR007,1,3D Base,fas,cl_dice,0.9639820400745268
SR007-CR1-4670-4734,SR007,1,3D,fas,cl_dice,0.7775669759199416
SR007-CR1-4670-4734,SR007,1,3D Base,fas,cl_dice,0.7807753189139182
SR007-CR1-5470-5534,SR007,1,3D,fas,cl_dice,0.9123117075988963
SR007-CR1-5470-5534,SR007,1,3D Base,fas,cl_dice,0.915817182023236
SR007-CR2-3970-4034,SR007,1,3D,fas,cl_dice,0.9298626174981924
SR007-CR2-3970-4034,SR007,1,3D Base,fas,cl_dice,0.9473684210526316
SR007-CR2-520-584,SR007,1,3D,fas,cl_dice,0.9840954274353876
SR007-CR2-520-584,SR007,1,3D Base,fas,cl_dice,0.9851042701092352
SR007-CR2-7675-7739,SR007,1,3D,fas,cl_dice,0.9671309192200556
SR007-CR2-7675-7739,SR007,1,3D Base,fas,cl_dice,0.965978806469604
SR007-TL1-3150-3214,SR007,1,3D,fas,cl_dice,0.9952786671731698
SR007-TL1-3150-3214,SR007,1,3D Base,fas,cl_dice,0.99576914732046
SR007-TL1-370-434,SR007,1,3D,fas,cl_dice,0.9705172875904584
SR007-TL1-370-434,SR007,1,3D Base,fas,cl_dice,0.9702412868632708
SR007-TL1-4680-4744,SR007,1,3D,fas,cl_dice,0.9336958266419274
SR007-TL1-4680-4744,SR007,1,3D Base,fas,cl_dice,0.8949694077617014
SR007-TL2-2216-2280,SR007,1,3D,fas,cl_dice,0.8907050376097332
SR007-TL2-2216-2280,SR007,1,3D Base,fas,cl_dice,0.897591087748065
SR007-TR1-2760-2824,SR007,1,3D,fas,cl_dice,0.9290403292699893
SR007-TR1-2760-2824,SR007,1,3D Base,fas,cl_dice,0.9145610946798276
SR007-TR1-5340-5404,SR007,1,3D,fas,cl_dice,0.821823064459821
SR007-TR1-5340-5404,SR007,1,3D Base,fas,cl_dice,0.8134025548468847
SR008-CL1-5080-5144,SR008,2,3D,fas,cl_dice,0.926822016575612
SR008-CL1-5080-5144,SR008,2,3D Base,fas,cl_dice,0.933900530952007
SR008-CL2-1890-1954,SR008,2,3D,fas,cl_dice,0.9887441697469316
