id,subject,fold,model,metric,value
SR007-CL1-4300-4364,SR007,1,3D,error_rate,0.3427355367906582
SR007-CL1-4300-4364,SR007,1,3D Base,error_rate,0.3667560585189192
SR007-CL1-5700-5764,SR007,1,3D,error_rate,0.38148649234926474
SR007-CL1-5700-5764,SR007,1,3D Base,error_rate,0.38011635536101823
SR007-CL2-2610-2674,SR007,1,3D,error_rate,0.22972569466877837
SR007-CL2-2610-2674,SR007,1,3D Base,error_rate,0.2060610953072051
SR007-CL2-3900-3964,SR007,1,3D,error_rate,0.3567804256109009
SR007-CL2-3900-3964,SR007,1,3D Base,error_rate,0.3494179841450064
SR007-CL2-440-504,SR007,1,3D,error_rate,1.3046544848520922
SR007-CL2-440-504,SR007,1,3D Base,error_rate,1.2272092319387038
SR007-CL2-7230-7294,SR007,1,3D,error_rate,0.07414193328002361
SR007-CL2-7230-7294,SR007,1,3D Base,error_rate,0.08469331459011924
SR007-CL3-1040-1104,SR007,1,3D,error_rate,0.4765513564914202
SR007-CL3-1040-1104,SR007,1,3D Base,error_rate,0.6198611256539202
SR007-CR1-2630-2694,SR007,1,3D,error_rate,0.4074890535243386
SR007-CR1-2630-2694,SR007,1,3D Base,error_rate,0.4166354356073214
SR007-CR1-3600-3664,SR007,1,3D,error_rate,0.3764822241610301
SR007-CR1-3600-3664,SR007,1,3D Base,error_rate,0.3942964953573231
SR007-CR1-4670-4734,SR007,1,3D,error_rate,0.5164104985295971
SR007-CR1-4670-4734,SR007,1,3D Base,error_rate,0.5305620463631708
SR007-CR1-5470-5534,SR007,1,3D,error_rate,0.37760163624720844
SR007-CR1-5470-5534,SR007,1,3D Base,error_rate,0.39795170124153345
SR007-CR2-3970-4034,SR007,1,3D,error_rate,0.839365856324736
SR007-CR2-3970-4034,SR007,1,3D Base,error_rate,0.8210367545569675
SR007-CR2-520-584,SR007,1,3D,error_rate,0.6125637479035925
SR007-CR2-520-584,SR007,1,3D Base,error_rate,0.5712334155201256
SR007-CR2-7675-7739,SR007,1,3D,error_rate,0.881068530732087
SR007-CR2-7675-7739,SR007,1,3D Base,error_rate,0.9419565854943657
SR007-TL1-3150-3214,SR007,1,3D,error_rate,0.4432780985229062
SR007-TL1-3150-3214,SR007,1,3D Base,error_rate,0.4660915799542839
SR007-TL1-370-434,SR007,1,3D,error_rate,1.4447433603817335
SR007-TL1-370-434,SR007,1,3D Base,error_rate,1.687177444427852
SR007-TL1-4680-4744,SR007,1,3D,error_rate,0.8658020569333702
SR007-TL1-4680-4744,SR007,1,3D Base,error_rate,0.9773929894987197
SR007-TL2-2216-2280,SR007,1,3D,error_rate,0.8085097316159872
SR007-TL2-2216-2280,SR007,1,3D Base,error_rate,0.8186720340328077
SR007-TR1-2760-2824,SR007,1,3D,error_rate,1.435902500816631
SR007-TR1-2760-2824,SR007,1,3D Base,error_rate,1.448831188350318
SR007-TR1-5340-5404,SR007,1,3D,error_rate,0.7534274877410525
SR007-TR1-5340-5404,SR007,1,3D Base,error_rate,0.8875593450743716
SR008-CL1-5080-5144,SR008,2,3D,error_rate,0.38983777774578215
SR008-CL1-5080-5144,SR008,2,3D Base,error_rate,0.2988802529769051
SR008-CL2-1890-1954,SR008,2,3D,error_rate,0.08355770560038821
SR008-CL2-1890-1954,SR008,2,3D Base,error_rate,0.09170226701036915
SR008-CL2-5300-5364,SR008,2,3D,error_rate,0.3266220387328225
SR008-CL2-5300-5364,SR008,2,3D Base,error_rate,0.3010849848614604
SR008-CL2-6030-6094,SR008,2,3D,error_rate,0.029662593335804028
SR008-CL2-6030-6094,SR008,2,3D Base,error_rate,0.01715733057672222
SR008-CL2-6350-6414,SR008,2,3D,error_rate,0.04013660983742654
SR008-CL2-6350-6414,SR008,2,3D Base,error_rate,0.014131474692477995
SR008-CL2-7900-7964,SR008,2,3D,error_rate,0.9108681781854678
SR008-CL2-7900-7964,SR008,2,3D Base,error_rate,2.5023847792282465
SR008-CR1-4800-4864,SR008,2,3D,error_rate,0.79867164081871
SR008-CR1-4800-4864,SR008,2,3D Base,error_rate,0.8125682658633948
SR008-CR1-6480-6544,SR008,2,3D,error_rate,0.3718067809362825
SR008-CR1-6480-6544,SR008,2,3D Base,error_rate,0.37129358090536196
SR008-CR1-7620-7684,SR008,2,3D,error_rate,0.8529105146446021
SR008-CR1-7620-7684,SR008,2,3D Base,error_rate,0.8116159376959402
SR008-CR1-7760-7824,SR008,2,3D,error_rate,1.3189043697347937
SR008-CR1-7760-7824,SR008,2,3D Base,error_rate,1.3488104567250776
SR008-CR2-640-704,SR008,2,3D,error_rate,0.6369230814846442
SR008-CR2-640-704,SR008,2,3D Base,error_rate,0.5668979741966982
SR008-TL1-1160-1224,SR008,2,3D,error_rate,0.00267881627338589
SR008-TL1-1160-1224,SR008,2,3D Base,error_rate,0.0017713222920910459
SR008-TL1-1879-1943,SR008,2,3D,error_rate,2.178956411993531
SR008-TL1-1879-1943,SR008,2,3D Base,error_rate,2.365874096740137
SR008-TL1-240-304,SR008,2,3D,error_rate,1.5657931978699735
SR008-TL1-240-304,SR008,2,3D Base,error_rate,3.0434325842586656
SR008-TL1-800-864,SR008,2,3D,error_rate,0.017914079077466588
SR008-TL1-800-864,SR008,2,3D Base,error_rate,0.009163838235170672
SR008-TR1-1210-1274,SR008,2,3D,error_rate,0.15328196000785485
SR008-TR1-1210-1274,SR008,2,3D Base,error_rate,0.16700077265273053
SR008-TR1-1430-1494,SR008,2,3D,error_rate,0.10062347333600519
SR008-TR1-1430-1494,SR008,2,3D Base,error_rate,3.054648841279303
SR008-TR1-1760-1824,SR008,2,3D,error_rate,1.00517966951934
SR008-TR1-1760-1824,SR008,2,3D Base,error_rate,1.0345128422547758
SR008-TR1-2060-2124,SR008,2,3D,error_rate,0.47554423017661157
SR008-TR1-2060-2124,SR008,2,3D Base,error_rate,0.5475983113424959
SR008-TR1-670-734,SR008,2,3D,error_rate,0.1099978342395331
SR008-TR1-670-734,SR008,2,3D Base,error_rate,0.10696545047690087
SR009-CL1-3900-3964,SR009,3,3D,error_rate,1.2911837332925198
SR009-CL1-3900-3964,SR009,3,3D Base,error_rate,1.4654955549020723
SR009-CL1-4400-4464,SR009,3,3D,error_rate,0.5631196584322772
SR009-CL1-4400-4464,SR009,3,3D Base,error_rate,0.6589974620514878
SR009-CL1-5380-5444,SR009,3,3D,error_rate,0.09996597265051785
SR009-CL1-5380-5444,SR009,3,3D Base,error_rate,0.10951017130322259
SR009-CL1-6980-7044,SR009,3,3D,error_rate,0.5263843705947209
SR009-CL1-6980-7044,SR009,3,3D Base,error_rate,0.49080928632895304
SR009-CL2-2000-2064,SR009,3,3D,error_rate,0.654924081867842
SR009-CL2-2000-2064,SR009,3,3D Base,error_rate,0.7073089451306735
SR009-CL2-3128-3192,SR009,3,3D,error_rate,0.34692168273982493
SR009-CL2-3128-3192,SR009,3,3D Base,error_rate,0.41619785648081953
SR009-CL2-6610-6674,SR009,3,3D,error_rate,0.1639746842716632
SR009-CL2-6610-6674,SR009,3,3D Base,error_rate,0.24725718293276683
SR009-CL2-7170-7234,SR009,3,3D,error_rate,0.394832148294875
SR009-CL2-7170-7234,SR009,3,3D Base,error_rate,0.471822316772783
SR009-CL2-910-974,SR009,3,3D,error_rate,0.7566809018048084
SR009-CL2-910-974,SR009,3,3D Base,error_rate,0.8402344284158993
SR009-CR1-3890-3954,SR009,3,3D,error_rate,0.8038786225940021
SR009-CR1-3890-3954,SR009,3,3D Base,error_rate,0.6744894286021209
SR009-CR1-7400-7464,SR009,3,3D,error_rate,0.7600619691601715
SR009-CR1-7400-7464,SR009,3,3D Base,error_rate,1.5960588399212192
SR009-CR2-1990-2054,SR009,3,3D,error_rate,0.4544179258327873
SR009-CR2-1990-2054,SR009,3,3D Base,error_rate,0.4879282532839062
SR009-CR3-1300-1364,SR009,3,3D,error_rate,0.3855209406274438
SR009-CR3-1300-1364,SR009,3,3D Base,error_rate,0.39450296532339213
SR009-CR3-2100-2164,SR009,3,3D,error_rate,2.0192903738375074
SR009-CR3-2100-2164,SR009,3,3D Base,error_rate,2.05904794778483
SR009-CR3-800-864,SR009,3,3D,error_rate,0.31329831103674977
SR009-CR3-800-864,SR009,3,3D Base,error_rate,0.30916907305377905
SR009-TL1-4050-4114,SR009,3,3D,error_rate,0.46992271681877834
SR009-TL1-4050-4114,SR009,3,3D Base,error_rate,0.51412170844166
SR009-TL1-4520-4584,SR009,3,3D,error_rate,0.6224880473419463
SR009-TL1-4520-4584,SR009,3,3D Base,error_rate,0.6491016535093639
SR009-TL1-6130-6194,SR009,3,3D,error_rate,0.563558798972414
SR009-TL1-6130-6194,SR009,3,3D Base,error_rate,0.6062276223427159
SR009-TR1-2930-2994,SR009,3,3D,error_rate,0.4550461270341529
SR009-TR1-2930-2994,SR009,3,3D Base,error_rate,0.4818940020497909
SR009-TR1-5300-5364,SR009,3,3D,error_rate,0.6225523894130142
SR009-TR1-5300-5364,SR009,3,3D Base,error_rate,0.48930637032260993
SR010-CL1-4068-4132,SR010,4,3D,error_rate,0.2529813217762079
SR010-CL1-4068-4132,SR010,4,3D Base,error_rate,0.20197577712235806
SR010-CL1-6954-7018,SR010,4,3D,error_rate,0.4992697431226787
SR010-CL1-6954-7018,SR010,4,3D Base,error_rate,0.5353171587293322
SR010-CL2-1125-1189,SR010,4,3D,error_rate,0.30430848522686965
SR010-CL2-1125-1189,SR010,4,3D Base,error_rate,0.3274168873881902
SR010-CL2-3303-3367,SR010,4,3D,error_rate,0.6154142670424376
SR010-CL2-3303-3367,SR010,4,3D Base,error_rate,0.6743978821364288
SR010-CL2-997-1061,SR010,4,3D,error_rate,0.42279843604395745
SR010-CL2-997-1061,SR010,4,3D Base,error_rate,0.4503791066684945
